Main Topic,Subtopic,Description,Code Snippets
Bucket Sort,How does Bucket Sort work?,"To apply bucket sort on the input array  [0.78, 0.17, 0.39, 0.26, 0.72, 0.94, 0.21, 0.12, 0.23, 0.68] , we follow these steps: Step 1:  Create an array of size 10, where each slot represents a bucket. Step 2:  Insert elements into the buckets from the input array based on their range. Inserting elements into the buckets: Take each element from the input array. Multiply the element by the size of the bucket array (10 in this case). For example, for element 0.23, we get 0.23 * 10 = 2.3. Convert the result to an integer, which gives us the bucket index. In this case, 2.3 is converted to the integer 2. Insert the element into the bucket corresponding to the calculated index. Repeat these steps for all elements in the input array. Step 3:  Sort the elements within each bucket. In this example, we use quicksort (or any stable sorting algorithm) to sort the elements within each bucket. Sorting the elements within each bucket: Apply a stable sorting algorithm (e.g., Bubble Sort, Merge Sort) to sort the elements within each bucket. The elements within each bucket are now sorted. Step 4:  Gather the elements from each bucket and put them back into the original array. Gathering elements from each bucket: Iterate through each bucket in order. Insert each individual element from the bucket into the original array. Once an element is copied, it is removed from the bucket. Repeat this process for all buckets until all elements have been gathered. Step 5:  The original array now contains the sorted elements. The final sorted array using bucket sort for the given input is [0.12, 0.17, 0.21, 0.23, 0.26, 0.39, 0.68, 0.72, 0.78, 0.94].",
Bucket Sort,Implementation of Bucket Sort Algorithm:,Below is the implementation for the Bucket Sort:,"def insertion_sort(bucket):
    for i in range(1, len(bucket)):
        key = bucket[i]
        j = i - 1
        while j >= 0 and bucket[j] > key:
            bucket[j + 1] = bucket[j]
            j -= 1
        bucket[j + 1] = key

def bucket_sort(arr):
    n = len(arr)
    buckets = [[] for _ in range(n)]

    # Put array elements in different buckets
    for num in arr:
        bi = int(n * num)
        buckets[bi].append(num)

    # Sort individual buckets using insertion sort
    for bucket in buckets:
        insertion_sort(bucket)

    # Concatenate all buckets into arr[]
    index = 0
    for bucket in buckets:
        for num in bucket:
            arr[index] = num
            index += 1

arr = [0.897, 0.565, 0.656, 0.1234, 0.665, 0.3434]
bucket_sort(arr)
print(""Sorted array is:"")
print("" "".join(map(str, arr)))"
Bucket Sort,Complexity Analysis of Bucket Sort Algorithm:,"Worst Case Time Complexity:  O(n 2 )  The worst case happens when one bucket gets all the elements. In this case, we will be running insertion sort on all items which will make the time complexity as O(n 2 ).  We can reduce the worst case time complexity to O(n Log n) by using a O(n Log n) algorithm like Merge Sort or Heap Sort to sort the individual buckets, but that will improve the algorithm time for cases when buckets have small number of items as insertion sort works better for small arrays. Best Case Time Complexity :  O(n + k)  The best case happens when every bucket gets equal number of elements. In this case every call to insertion sort will take constant time as the number of items in every bucket would be constant (Assuming that k is linearly proportional to n). Auxiliary Space:  O(n+k)",
Binary Search,What is Binary Search Algorithm?,Binary search  is a search algorithm used to find the position of a target value within a  sorted  array. It works by repeatedly dividing the search interval in half until the target value is found or the interval is empty. The search interval is halved by comparing the target element with the middle value of the search space.,
Binary Search,Conditions to apply Binary Search Algorithm in a Data Structure,To apply Binary Search algorithm: The data structure must be sorted. Access to any element of the data structure should take constant time.,
Binary Search,Binary Search Algorithm,"Below is the step-by-step algorithm for Binary Search: Divide the search space into two halves by  finding the middle index “mid” .  Compare the middle element of the search space with the  key .  If the  key  is found at middle element, the process is terminated. If the  key  is not found at middle element, choose which half will be used as the next search space. If the  key  is smaller than the middle element, then the  left  side is used for next search. If the  key  is larger than the middle element, then the  right  side is used for next search. This process is continued until the  key  is found or the total search space is exhausted.",
Binary Search,How does Binary Search Algorithm work?,"To understand the working of binary search, consider the following illustration: Consider an array  arr[] = {2, 5, 8, 12, 16, 23, 38, 56, 72, 91} , and the  target = 23 .",
Binary Search,How to Implement Binary Search Algorithm?,The  Binary Search Algorithm  can be implemented in the following two ways Iterative Binary Search Algorithm Recursive Binary Search Algorithm Given below are the pseudocodes for the approaches. Time Complexity:  O(log N) Auxiliary Space:  O(1),"# Python3 code to implement iterative Binary
# Search.


# It returns location of x in given array arr
def binarySearch(arr, low, high, x):

    while low <= high:

        mid = low + (high - low) // 2

        # Check if x is present at mid
        if arr[mid] == x:
            return mid

        # If x is greater, ignore left half
        elif arr[mid] < x:
            low = mid + 1

        # If x is smaller, ignore right half
        else:
            high = mid - 1

    # If we reach here, then the element
    # was not present
    return -1


# Driver Code
if __name__ == '__main__':
    arr = [2, 3, 4, 10, 40]
    x = 10

    # Function call
    result = binarySearch(arr, 0, len(arr)-1, x)
    if result != -1:
        print(""Element is present at index"", result)
    else:
        print(""Element is not present in array"")
# Python3 Program for recursive binary search.


# Returns index of x in arr if present, else -1
def binarySearch(arr, low, high, x):

    # Check base case
    if high >= low:

        mid = low + (high - low) // 2

        # If element is present at the middle itself
        if arr[mid] == x:
            return mid

        # If element is smaller than mid, then it
        # can only be present in left subarray
        elif arr[mid] > x:
            return binarySearch(arr, low, mid-1, x)

        # Else the element can only be present
        # in right subarray
        else:
            return binarySearch(arr, mid + 1, high, x)

    # Element is not present in the array
    else:
        return -1


# Driver Code
if __name__ == '__main__':
    arr = [2, 3, 4, 10, 40]
    x = 10
    
    # Function call
    result = binarySearch(arr, 0, len(arr)-1, x)
    
    if result != -1:
        print(""Element is present at index"", result)
    else:
        print(""Element is not present in array"")"
Binary Search,Complexity Analysis of Binary Search Algorithm,"Time Complexity:   Best Case: O(1) Average Case: O(log N) Worst Case: O(log N) Auxiliary Space:  O(1), If the recursive call stack is considered then the auxiliary space will be O(logN).",
Binary Search,Applications of Binary Search Algorithm,"Binary search can be used as a building block for more complex algorithms used in machine learning, such as algorithms for training neural networks or finding the optimal hyperparameters for a model. It can be used for searching in computer graphics such as algorithms for ray tracing or texture mapping. It can be used for searching a database.",
Binary Search,Advantages of Binary Search,"Binary search is faster than linear search, especially for large arrays. More efficient than other searching algorithms with a similar time complexity, such as interpolation search or exponential search. Binary search is well-suited for searching large datasets that are stored in external memory, such as on a hard drive or in the cloud.",
Binary Search,Disadvantages of Binary Search,"The array should be sorted. Binary search requires that the data structure being searched be stored in contiguous memory locations.  Binary search requires that the elements of the array be comparable, meaning that they must be able to be ordered.",
Binary Tree,Representation of Binary Tree,Each node in a Binary Tree has three parts: Data Pointer to the left child Pointer to the right child Syntax to declare a Node of Binary Tree in different languages:,"# A Python class that represents
# an individual node in a Binary Tree
class Node:
    def __init__(self, key):
        self.left = None
        self.right = None
        self.val = key"
Binary Tree,Example for Creating a Binary Tree,"Here’s an example of creating a Binary Tree with four nodes (2, 3, 4, 5) In the above code, we have created four tree nodes  firstNode ,  secondNode ,  thirdNode  and  fourthNode  having values  2 ,  3 ,  4  and  5  respectively. After creating three nodes, we have connected these node to form the tree structure like mentioned in above image. Connect the  secondNode  to the left of  firstNode  by  firstNode->left = secondNode Connect the  thirdNode  to the right of  firstNode  by  firstNode->right = thirdNode Connect the  fourthNode  to the left of  secondNode  by  secondNode->left = fourthNode","class Node:
    def __init__(self, d):
        self.data = d
        self.left = None
        self.right = None

# Initialize and allocate memory for tree nodes
firstNode = Node(2)
secondNode = Node(3)
thirdNode = Node(4)
fourthNode = Node(5)

# Connect binary tree nodes
firstNode.left = secondNode
firstNode.right = thirdNode
secondNode.left = fourthNode"
Binary Tree,Terminologies in Binary Tree,"Nodes:  The fundamental part of a binary tree, where each node contains  data  and  link  to two child nodes. Root : The topmost node in a tree is known as the root node. It has no parent and serves as the starting point for all nodes in the tree. Parent Node : A node that has one or more child nodes. In a binary tree, each node can have at most two children. Child Node : A node that is a descendant of another node (its parent). Leaf Node : A node that does not have any children or both children are null. Internal Node : A node that has at least one child. This includes all nodes except the  root  and the  leaf  nodes. Depth of a Node : The number of edges from a specific node to the root node. The depth of the  root  node is zero. Height of a Binary Tree : The number of nodes from the deepest leaf node to the root node. The diagram below shows all these terms in a binary tree.",
Binary Tree,Properties of Binary Tree,"The maximum number of nodes at level  L  of a binary tree is  2 L The maximum number of nodes in a binary tree of height  H  is  2 H  – 1 Total number of leaf nodes in a binary tree = total number of nodes with 2 children + 1 In a Binary Tree with  N  nodes, the minimum possible height or the minimum number of levels is  Log 2 (N+1) A Binary Tree with  L  leaves has at least  | Log2L |+ 1  levels Please refer  Properties of Binary Tree  for more details.",
Binary Tree,Types of Binary Tree,Binary Tree can be classified into multiples types based on multiple factors: On the basis of Number of Children Full Binary Tree Degenerate Binary Tree Skewed Binary Trees On the basis of Completion of Levels  Complete Binary Tree Perfect Binary Tree Balanced Binary Tree On the basis of Node Values: Binary Search Tree AVL Tree Red Black Tree B Tree B+ Tree Segment Tree,
Binary Tree,Operations On Binary Tree,"Following is a list of common operations that can be performed on a binary tree: Traversal in Binary Tree involves visiting all the nodes of the binary tree. Tree Traversal algorithms can be classified broadly into two categories,  DFS  and  BFS : Depth-First Search (DFS) algorithms:  DFS explores as far down a branch as possible before backtracking. It is implemented using recursion. The main traversal methods in DFS for binary trees are: Preorder Traversal (current-left-right):   Visits the  node  first, then  left subtree , then  right subtree. Inorder Traversal (left-current-right):   Visits  left subtree , then the  node , then the  right subtree . Postorder Traversal (left-right-current):  Visits  left subtree , then  right subtree , then the  node . Breadth-First Search (BFS) algorithms:  BFS explores all nodes at the present depth before moving on to nodes at the next depth level. It is typically implemented using a queue.   BFS in a binary tree is commonly referred to as   Level Order Traversal . Below is the implementation of traversals algorithm in binary tree: Inserting elements means add a new node into the binary tree. As we know that there is no such ordering of elements in the binary tree, So we do not have to worry about the ordering of node in the binary tree. We would first creates a  root node  in case of empty tree. Then subsequent insertions involve iteratively searching for an empty place at each level of the tree. When an empty  left  or  right  child is found then  new node  is inserted there. By convention, insertion always starts with the  left  child node. Searching  for a value in a binary tree means looking through the tree to find a node that has that value. Since binary trees do not have a specific order like binary search trees, we typically use any traversal method to search. The most common methods are  depth-first search (DFS)  and  breadth-first search (BFS) . In  DFS , we start from the  root  and explore the depth nodes first. In BFS, we explore all the nodes at the present depth level before moving on to the nodes at the next level. We continue this process until we either find the node with the desired value or reach the end of the tree. If the tree is empty or the value isn’t found after exploring all possibilities, we conclude that the value does not exist in the tree. Here is the implementation of searching in a binary tree using Depth-First Search (DFS) Deleting a node from a binary tree means removing a specific node while keeping the tree’s structure. First, we need to find the node that want to delete by traversing through the tree using any traversal method. Then replace the node’s value with the value of the last node in the tree (found by traversing to the rightmost leaf), and then delete that last node. This way, the tree structure won’t be effected. And remember to check for special cases, like trying to delete from an empty tree, to avoid any issues. Note:  There is no specific rule of deletion but we always make sure that during deletion the binary tree proper should be preserved.","class Node:
    def __init__(self, data):
        self.data = data
        self.left = None
        self.right = None

# In-order DFS: Left, Root, Right
def in_order_dfs(node):
    if node is None:
        return
    in_order_dfs(node.left)
    print(node.data, end=' ')
    in_order_dfs(node.right)

# Pre-order DFS: Root, Left, Right
def pre_order_dfs(node):
    if node is None:
        return
    print(node.data, end=' ')
    pre_order_dfs(node.left)
    pre_order_dfs(node.right)

# Post-order DFS: Left, Right, Root
def post_order_dfs(node):
    if node is None:
        return
    post_order_dfs(node.left)
    post_order_dfs(node.right)
    print(node.data, end=' ')

# BFS: Level order traversal
def bfs(root):
    if root is None:
        return
    queue = [root]
    while queue:
        node = queue.pop(0)
        print(node.data, end=' ')
        if node.left:
            queue.append(node.left)
        if node.right:
            queue.append(node.right)

if __name__ == ""__main__"":
    # Creating the tree
    root = Node(2)
    root.left = Node(3)
    root.right = Node(4)
    root.left.left = Node(5)

    print(""In-order DFS: "", end='')
    in_order_dfs(root)
    print(""\nPre-order DFS: "", end='')
    pre_order_dfs(root)
    print(""\nPost-order DFS: "", end='')
    post_order_dfs(root)
    print(""\nLevel order: "", end='')
    bfs(root)
from collections import deque

class Node:
    def __init__(self, d):
        self.data = d
        self.left = None
        self.right = None

# Function to insert a new node in the binary tree
def insert(root, key):
    if root is None:
        return Node(key)

    # Create a queue for level order traversal
    queue = deque([root])

    while queue:
        temp = queue.popleft()

        # If left child is empty, insert the new node here
        if temp.left is None:
            temp.left = Node(key)
            break
        else:
            queue.append(temp.left)

        # If right child is empty, insert the new node here
        if temp.right is None:
            temp.right = Node(key)
            break
        else:
            queue.append(temp.right)

    return root

# In-order traversal
def inorder(root):
    if root is None:
        return
    inorder(root.left)
    print(root.data, end="" "")
    inorder(root.right)

if __name__ == ""__main__"":
    root = Node(2)
    root.left = Node(3)
    root.right = Node(4)
    root.left.left = Node(5)

    print(""Inorder traversal before insertion: "", end="""")
    inorder(root)
    print()

    key = 6
    root = insert(root, key)

    print(""Inorder traversal after insertion: "", end="""")
    inorder(root)
    print()
class Node:
    def __init__(self, d):
        self.data = d
        self.left = None
        self.right = None

# Function to search for a value in the binary tree using DFS
def searchDFS(root, value):
    # Base case: If the tree is empty or we've reached a leaf node
    if root is None:
        return False
    # If the node's data is equal to the value we are searching for
    if root.data == value:
        return True
    # Recursively search in the left and right subtrees
    left_res = searchDFS(root.left, value)
    right_res = searchDFS(root.right, value)

    return left_res or right_res

if __name__ == ""__main__"":
    root = Node(2)
    root.left = Node(3)
    root.right = Node(4)
    root.left.left = Node(5)
    root.left.right = Node(6)

    value = 6
    if searchDFS(root, value):
        print(f""{value} is found in the binary tree"")
    else:
        print(f""{value} is not found in the binary tree"")
from collections import deque

class Node:
    def __init__(self, d):
        self.data = d
        self.left = None
        self.right = None

# Function to delete a node from the binary tree
def deleteNode(root, val):
    if root is None:
        return None

    # Use a queue to perform BFS
    queue = deque([root])
    target = None

    # Find the target node
    while queue:
        curr = queue.popleft()

        if curr.data == val:
            target = curr
            break
        if curr.left:
            queue.append(curr.left)
        if curr.right:
            queue.append(curr.right)

    if target is None:
        return root

    # Find the deepest rightmost node and its parent
    last_node = None
    last_parent = None
    queue = deque([(root, None)])

    while queue:
        curr, parent = queue.popleft()
        last_node = curr
        last_parent = parent

        if curr.left:
            queue.append((curr.left, curr))
        if curr.right:
            queue.append((curr.right, curr))

    # Replace target's value with the last node's value
    target.data = last_node.data

    # Remove the last node
    if last_parent:
        if last_parent.left == last_node:
            last_parent.left = None
        else:
            last_parent.right = None
    else:
        return None
    return root

# In-order traversal
def inorder(root):
    if root is None:
        return
    inorder(root.left)
    print(root.data, end="" "")
    inorder(root.right)

if __name__ == ""__main__"":
    root = Node(2)
    root.left = Node(3)
    root.right = Node(4)
    root.left.left = Node(5)
    root.left.right = Node(6)

    print(""Original tree (in-order): "", end="""")
    inorder(root)
    print()

    val_to_del = 3
    root = deleteNode(root, val_to_del)

    print(f""Tree after deleting {val_to_del} (in-order): "", end="""")
    inorder(root)
    print()"
Binary Tree,Auxiliary Operations On Binary Tree,Finding the height of the tree Find level of a node in a Binary tree Finding the size of the entire tree,
Binary Tree,Complexity Analysis of Binary Tree Operations,Here’s the complexity analysis for specific binary tree operations: Note:  We can use  Morris Traversal   to traverse all the nodes of the binary tree in O(n) time complexity but with O(1) auxiliary space.,
Binary Tree,Advantages of Binary Tree,"Efficient Search:  Binary Search Trees  (a variation of Binary Tree) are efficient when searching for a specific element, as each node has at most two child nodes when compared to linked list and arrays Memory Efficient:  Binary trees require lesser memory as compared to other tree data structures, therefore memory-efficient. Binary trees are relatively easy to implement and understand as each node has at most two children, left child and right child.",
Binary Tree,Disadvantages of Binary Tree,"Limited structure:  Binary trees are limited to two child nodes per node, which can limit their usefulness in certain applications. For example, if a tree requires more than two child nodes per node, a different tree structure may be more suitable. Unbalanced trees:  Unbalanced binary trees, where one subtree is significantly larger than the other, can lead to inefficient search operations. This can occur if the tree is not properly balanced or if data is inserted in a non-random order. Space inefficiency:  Binary trees can be space inefficient when compared to other data structures like arrays and linked list. This is because each node requires two child references or pointers, which can be a significant amount of memory overhead for large trees. Slow performance in worst-case scenarios:  In the worst-case scenario, a binary tree can become degenerate or skewed, meaning that each node has only one child. In this case, search operations in  Binary Search Tree  (a variation of Binary Tree) can degrade to O(n) time complexity, where n is the number of nodes in the tree.",
Binary Tree,Applications of Binary Tree,"Binary Tree can be used to  represent hierarchical data . Huffman Coding trees are used in  data compression algorithms . Priority Queue  is another application of binary tree that is used for searching maximum or minimum in O(1) time complexity. Useful for indexing segmented at the database is useful in storing cache in the system, Binary trees can be used to implement decision trees, a type of machine learning algorithm used for classification and regression analysis.",
DFS,DFS Traversal of a Graph vs Tree:,"In the graph, there might be cycles and disconnectivity. Unlike the graph, the tree does not contain a cycle and are always connected. So DFS of a tree is relatively easier. We can simply begin from a node, then traverse its adjacent (or children) without caring about cycles. And if we begin from a single node (root), and traverse this way, it is guaranteed that we traverse the whole tree as there is no dis-connectivity, Examples: Below are the Tree traversals through DFS using recursion:",
DFS,1. Inorder Traversal (Practice):,"Follow the below steps to solve the problem: Traverse the left subtree, i.e., call Inorder(left-subtree) Visit the root Traverse the right subtree, i.e., call Inorder(right-subtree) Below is the implementation of the above algorithm: Time Complexity:  O(N) Auxiliary Space:  O(log N) In the case of binary search trees (BST), Inorder traversal gives nodes in non-decreasing order. To get nodes of BST in non-increasing order, a variation of Inorder traversal where Inorder traversal is reversed can be used",
DFS,2. Preorder Traversal (Practice):,"Follow the below steps to solve the problem: Visit the root Traverse the left subtree, i.e., call Preorder(left-subtree) Traverse the right subtree, i.e., call Preorder(right-subtree) Below is the implementation of the above algorithm: Time Complexity:  O(N) Auxiliary Space:  O(log N) Preorder traversal is used to create a copy of the tree. Preorder traversal is also used to get prefix expressions of an expression tree.",
DFS,3. Postorder Traversal (Practice):,"Follow the below steps to solve the problem: Traverse the left subtree, i.e., call Postorder(left-subtree) Traverse the right subtree, i.e., call Postorder(right-subtree) Visit the root Below is the implementation of the above algorithm: Time Complexity:  O(N) Auxiliary Space:  O(log N) Postorder traversal is used to delete the tree. Please see  the question for the deletion of the tree  for details. Postorder traversal is also useful to get the postfix expression of an expression tree",
DFS,Implementing all traversals using DFS:,Time Complexity:  O(N) Auxiliary Space:  O(log N) Related Article: Please see  this post for Breadth First Traversal.,
Backtracking,What is Backtracking?,"Backtracking is a problem-solving algorithmic technique that involves finding a solution incrementally by trying  different options  and  undoing  them if they lead to a  dead end . It is commonly used in situations where you need to explore multiple possibilities to solve a problem, like searching for a path in a maze or solving puzzles like Sudoku. When a dead end is reached, the algorithm backtracks to the previous decision point and explores a different path until a solution is found or all possibilities have been exhausted. Candidate:  A candidate is a potential choice or element that can be added to the current solution. 
 Solution:  The solution is a valid and complete configuration that satisfies all problem constraints. 
 Partial Solution:  A partial solution is an intermediate or incomplete configuration being constructed during the backtracking process. 
 Decision Space:  The decision space is the set of all possible candidates or choices at each decision point. 
 Decision Point:  A decision point is a specific step in the algorithm where a candidate is chosen and added to the partial solution. 
 Feasible Solution:  A feasible solution is a partial or complete solution that adheres to all constraints. 
 Dead End:  A dead end occurs when a partial solution cannot be extended without violating constraints. 
 Backtrack:  Backtracking involves undoing previous decisions and returning to a prior decision point. 
 Search Space:  The search space includes all possible combinations of candidates and choices. 
 Optimal Solution:  In optimization problems, the optimal solution is the best possible solution.",
Backtracking,Types of Backtracking Problems,"Problems associated with backtracking can be categorized into 3 categories: Decision Problems:  Here, we search for a feasible solution. 
 Optimization Problems:  For this type, we search for the best solution. 
 Enumeration Problems:  We find set of all possible feasible solutions to the problems of this type.",
Backtracking,Determining Backtracking Problems:,"Generally every constraint satisfaction problem can be solved using backtracking but, Is it optimal to use backtracking every time? Turns out  NO , there are a vast number of problem that can be solved using  Greedy  or  Dynamic programming  in logarithmic or polynomial time complexity which is far better than exponential complexity of Backtracking. However many problems still exists that can only be solved using Backtracking.",
Backtracking,Pseudocode for Backtracking,"The best way to implement backtracking is through recursion, and all backtracking code can be summarised as per the given Pseudocode:",
Backtracking,Complexity Analysis of Backtracking,"Since backtracking algorithm is purely brute force therefore in terms of time complexity, it performs very poorly. Generally backtracking can be seen having below mentioned time complexities: Exponential (O(K^N))  
 Factorial (O(N!)) These complexities are due to the fact that at each state we have multiple choices due to which the number of paths increases and sub-trees expand rapidly.",
Backtracking,How Backtracking is different from Recursion?,"Recursion and Backtracking are related concepts in computer science and programming, but they are not the same thing. Let’s explore the key differences between them:",
Backtracking,Applications of Backtracking,"Creating smart bots to play Board Games such as Chess. 
 Solving mazes and puzzles such as N-Queen problem.  
 Network Routing and Congestion Control. 
 Decryption 
 Text Justification",
Graph,Representations of Graph,"Here are the two most common ways to represent a graph : For simplicity, we are going to consider only  unweighted graphs  in this post.",
Graph,Adjacency Matrix Representation,"An adjacency matrix is a way of representing a graph as a matrix of boolean (0’s and 1’s) Let’s assume there are  n  vertices in the graph So, create a 2D matrix  adjMat[n][n]  having dimension n x n. The below figure shows an undirected graph. Initially, the entire Matrix is ​​initialized to  0 . If there is an edge from source to destination, we insert  1  to both cases ( adjMat[destination]  and  adjMat [ destination])  because we can go either way. The below figure shows a directed graph. Initially, the entire Matrix is ​​initialized to  0 . If there is an edge from source to destination, we insert  1  for that particular  adjMat[destination] .","def add_edge(mat, i, j):
  
    # Add an edge between two vertices
    mat[i][j] = 1  # Graph is 
    mat[j][i] = 1  # Undirected

def display_matrix(mat):
  
    # Display the adjacency matrix
    for row in mat:
        print("" "".join(map(str, row)))  

# Main function to run the program
if __name__ == ""__main__"":
    V = 4  # Number of vertices
    mat = [[0] * V for _ in range(V)]  

    # Add edges to the graph
    add_edge(mat, 0, 1)
    add_edge(mat, 0, 2)
    add_edge(mat, 1, 2)
    add_edge(mat, 2, 3)

    # Optionally, initialize matrix directly
    """"""
    mat = [
        [0, 1, 0, 0],
        [1, 0, 1, 0],
        [0, 1, 0, 1],
        [0, 0, 1, 0]
    ]
    """"""

    # Display adjacency matrix
    print(""Adjacency Matrix:"")
    display_matrix(mat)"
Graph,Adjacency List Representation,"An array of Lists is used to store edges between two vertices. The size of array is equal to the number of  vertices (i.e, n) . Each index in this array represents a specific vertex in the graph. The entry at the index i of the array contains a linked list containing the vertices that are adjacent to vertex  i . Let’s assume there are  n  vertices in the graph So, create an  array of list  of size  n  as  adjList[n]. The below undirected graph has 3 vertices. So, an array of list will be created of size 3, where each indices represent the vertices. Now, vertex 0 has two neighbours (i.e, 1 and 2). So, insert vertex 1 and 2 at indices 0 of array. Similarly, For vertex 1, it has two neighbour (i.e, 2 and 0) So, insert vertices 2 and 0 at indices 1 of array. Similarly, for vertex 2, insert its neighbours in array of list. The below directed graph has 3 vertices. So, an array of list will be created of size 3, where each indices represent the vertices. Now, vertex 0 has no neighbours. For vertex 1, it has two neighbour (i.e, 0 and 2) So, insert vertices 0 and 2 at indices 1 of array. Similarly, for vertex 2, insert its neighbours in array of list.","def add_edge(adj, i, j):
    adj[i].append(j)
    adj[j].append(i)  # Undirected

def display_adj_list(adj):
    for i in range(len(adj)):
        print(f""{i}: "", end="""")
        for j in adj[i]:
            print(j, end="" "")
        print()

# Create a graph with 4 vertices and no edges
V = 4
adj = [[] for _ in range(V)]

# Now add edges one by one
add_edge(adj, 0, 1)
add_edge(adj, 0, 2)
add_edge(adj, 1, 2)
add_edge(adj, 2, 3)

print(""Adjacency List Representation:"")
display_adj_list(adj)"
Graph,BFS from a Given Source:,"The algorithm starts from a given source and explores all reachable vertices from the given source. It is similar to the   Breadth-First Traversal of a tree . Like tree, we begin with the given source (in tree, we begin with root) and traverse vertices level by level using a queue data structure.  The only catch here is that, unlike    trees,  graphs    may contain cycles, so we may come to the same node again. To avoid processing a node more than once, we use a  boolean   visited  array. Initialization:   Enqueue the given source vertex into a queue and mark it as visited. This algorithm ensures that all nodes in the graph are visited in a breadth-first manner, starting from the starting node. Time Complexity:   O(V+E), where V is the number of nodes and E is the number of edges.   Auxiliary Space:   O(V)","from collections import deque

# BFS from given source s
def bfs(adj, s):
  
    # Create a queue for BFS
    q = deque()
    
    # Initially mark all the vertices as not visited
    # When we push a vertex into the q, we mark it as 
    # visited
    visited = [False] * len(adj);

    # Mark the source node as visited and enqueue it
    visited[s] = True
    q.append(s)

    # Iterate over the queue
    while q:
      
        # Dequeue a vertex from queue and print it
        curr = q.popleft()
        print(curr, end="" "")

        # Get all adjacent vertices of the dequeued 
        # vertex. If an adjacent has not been visited, 
        # mark it visited and enqueue it
        for x in adj[curr]:
            if not visited[x]:
                visited[x] = True
                q.append(x)

# Function to add an edge to the graph
def add_edge(adj, u, v):
    adj[u].append(v)
    adj[v].append(u)

# Example usage
if __name__ == ""__main__"":
  
    # Number of vertices in the graph
    V = 5

    # Adjacency list representation of the graph
    adj = [[] for _ in range(V)]

    # Add edges to the graph
    add_edge(adj, 0, 1)
    add_edge(adj, 0, 2)
    add_edge(adj, 1, 3)
    add_edge(adj, 1, 4)
    add_edge(adj, 2, 4)

    # Perform BFS traversal starting from vertex 0
    print(""BFS starting from 0: "")
    bfs(adj, 0)"
Graph,BFS of the whole Graph which Maybe Disconnected,"The above implementation takes a source as an input and prints only those vertices that are reachable from the source and  would not print all vertices in case of disconnected graph. Let us now  talk about the algorithm that prints all vertices without any source and  the graph maybe disconnected. The idea is simple, instead of calling BFS for a single vertex, we call the above implemented BFS for all all non-visited vertices one by one.","from collections import deque

# BFS from given source s
def bfs(adj, s, visited):
  
    q = deque() # Create a queue for BFS

    # Mark the source node as visited and enqueue it
    visited[s] = True
    q.append(s)

    # Iterate over the queue
    while q:
        curr = q.popleft() # Dequeue a vertex
        print(curr, end="" "")

        # Get all adjacent vertices of curr
        for x in adj[curr]:
            if not visited[x]:
                visited[x] = True # Mark as visited
                q.append(x) # Enqueue it

# Function to add an edge to the graph
def add_edge(adj, u, v):
    adj[u].append(v)
    adj[v].append(u) # Undirected graph

# Perform BFS for the entire graph
def bfs_disconnected(adj):
    visited = [False] * len(adj) # Not visited

    for i in range(len(adj)):
        if not visited[i]:
            bfs(adj, i, visited)

# Example usage
V = 6 # Number of vertices
adj = [[] for _ in range(V)] # Adjacency list

# Add edges to the graph
add_edge(adj, 0, 1)
add_edge(adj, 0, 2)
add_edge(adj, 3, 4)
add_edge(adj, 4, 5)

# Perform BFS traversal for the entire graph
bfs_disconnected(adj)"
Graph,Complexity Analysis of Breadth-First Search (BFS) Algorithm:,"BFS explores all the vertices and edges in the graph. In the worst case, it visits every vertex and edge once. Therefore, the time complexity of BFS is O(V + E), where V and E are the number of vertices and edges in the given graph. BFS uses a queue to keep track of the vertices that need to be visited. In the worst case, the queue can contain all the vertices in the graph. Therefore, the space complexity of BFS is O(V).",
Graph,Applications of BFS in Graphs:,"BFS has various applications in graph theory and computer science, including: Shortest Path Finding:   BFS can be used to find the shortest path between two nodes in an unweighted graph. By keeping track of the parent of each node during the traversal, the shortest path can be reconstructed.   Cycle Detection:   BFS can be used to detect cycles in a graph. If a node is visited twice during the traversal, it indicates the presence of a cycle.   Connected Components:   BFS can be used to identify connected components in a graph. Each connected component is a set of nodes that can be reached from each other.   Topological Sorting:   BFS can be used to perform topological sorting on a directed acyclic graph (DAG). Topological sorting arranges the nodes in a linear order such that for any edge (u, v), u appears before v in the order.   Level Order Traversal of Binary Trees:   BFS can be used to perform a level order traversal of a binary tree. This traversal visits all nodes at the same level before moving to the next level.   Network Routing:   BFS can be used to find the shortest path between two nodes in a network, making it useful for routing data packets in network protocols.",
Graph,FAQs on Breadth First Search (BFS) for a Graph:,Related Articles: Recent Articles on BFS   Depth First Traversal   Applications of Breadth First Traversal   Applications of Depth First Search   Time and Space Complexity of Breadth First Search (BFS),
